input_text,target_text
Log: sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Failed SSH login from 218.188.2.4 due to an authentication failure.
Log: sshd(pam_unix)[19937]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Failed SSH login from 218.188.2.4 due to an authentication failure.
Log: sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed root SSH login from 220-135-151-1.hinet-ip.hinet.net due to an authentication failure.
Log: su(pam_unix)[21416]: session opened for user cyrus by (uid=0),"A session was opened for user ""cyrus""."
Log: su(pam_unix)[21416]: session closed for user cyrus,"A session was closed for user ""cyrus""."
Log: logrotate: ALERT exited abnormally with [1],The automatic log rotation process has failed to complete successfully due to an error.
Log: su(pam_unix)[22644]: session opened for user news by (uid=0),"A session was opened for user ""news""."
Log: su(pam_unix)[22644]: session closed for user news,"A session was closed for user ""news""."
Log: sshd(pam_unix)[23397]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[23397]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Failed SSH login from 218.188.2.4 due to an authentication failure.
Log: sshd(pam_unix)[23395]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
Log: sshd(pam_unix)[23395]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Failed SSH login from 218.188.2.4 due to an authentication failure.
Log: sshd(pam_unix)[23404]: check pass; user unknown,"The system tried to check a password, but the login failed because the username was unknown."
